ensembl_id	symbol	name	type_of_gene
ENSG00000226243	RPL37AP1	ribosomal protein L37a pseudogene 1	
ENSG00000226245	ZNF32-AS1	ZNF32 antisense RNA 1	ncRNA
ENSG00000226246	KRT18P36	keratin 18 pseudogene 36	pseudo
ENSG00000226247	SUPT4H1P1	SPT4 homolog, DSIF elongation factor subunit pseudogene	
ENSG00000226249	LOC105378044	uncharacterized LOC105378044	ncRNA
ENSG00000226250	LINC00408	long intergenic non-protein coding RNA 408	ncRNA
ENSG00000226251	LINC02608	long intergenic non-protein coding RNA 2608	ncRNA
ENSG00000226252			
ENSG00000226253	MRPL35P3	mitochondrial ribosomal protein L35 pseudogene 3	
ENSG00000226254	PTP4A1P3	PTP4A1 pseudogene 3	pseudo
ENSG00000226255	UBE2V2P1	ubiquitin conjugating enzyme E2 V2 pseudogene 1	pseudo
ENSG00000226258	GRM7-AS3	GRM7 antisense RNA 3	ncRNA
ENSG00000226259	GTF2H2B	general transcription factor IIH subunit 2B (pseudogene)	
ENSG00000226261	PIMREGP1	PIMREG pseudogene 1	
ENSG00000226262	PHKBP1	phosphorylase kinase regulatory subunit beta pseudogene 1	pseudo
ENSG00000226263	ISM1-AS1	ISM1 antisense RNA 1	
ENSG00000226266			
ENSG00000226268			
ENSG00000226270	ZNF736P2Y	zinc finger protein 736 pseudogene 2, Y-linked	
ENSG00000226272	ARHGAP26-AS1	ARHGAP26 antisense RNA 1	ncRNA
ENSG00000226273	STUB1P1	STUB1 pseudogene 1	
ENSG00000226276			
ENSG00000226277			
ENSG00000226278	PSPHP1	phosphoserine phosphatase pseudogene 1	pseudo
ENSG00000226279	RPL12P10	ribosomal protein L12 pseudogene 10	pseudo
ENSG00000226280	LOC100129144	zinc finger protein 681 pseudogene	pseudo
ENSG00000226281	LOC105374901	uncharacterized LOC105374901	ncRNA
ENSG00000226284	ARPC3P1	actin related protein 2/3 complex subunit 3 pseudogene 1	
ENSG00000226285	NUP35P2	nucleoporin 35 pseudogene 2	
ENSG00000226286			
ENSG00000226287	TMEM191A	transmembrane protein 191A (pseudogene)	
ENSG00000226288	OR52I2	olfactory receptor family 52 subfamily I member 2	protein-coding
ENSG00000226289	CDCA4P3	cell division cycle associated 4 pseudogene 3	pseudo
ENSG00000226291			
ENSG00000226292	RPS3AP10	RPS3A pseudogene 10	pseudo
ENSG00000226296			
ENSG00000226297	RPL17P14	ribosomal protein L17 pseudogene 14	pseudo
ENSG00000226298	RAD23BP3	RAD23B pseudogene 3	pseudo
ENSG00000226299	RPSAP62	ribosomal protein SA pseudogene 62	pseudo
ENSG00000226301	PDCL3P1	PDCL3 pseudogene 1	
ENSG00000226302			
ENSG00000226304	LOC101929073	uncharacterized LOC101929073	ncRNA
ENSG00000226306	NPY6R	neuropeptide Y receptor Y6 (pseudogene)	
ENSG00000226307	HNRNPDLP1	HNRNPDL pseudogene 1	pseudo
ENSG00000226308	LOC112268270	translation initiation factor IF-2-like	ncRNA
ENSG00000226309	SMARCE1P2	SMARCE1 pseudogene 2	pseudo
ENSG00000226310			
ENSG00000226312	CFLAR-AS1	CFLAR antisense RNA 1	ncRNA
ENSG00000226313	MTCYBP12	MT-CYB pseudogene 12	pseudo
ENSG00000226314	ZKSCAN8P1	ZKSCAN8 pseudogene 1	pseudo
ENSG00000226317	LINC00351	long intergenic non-protein coding RNA 351	ncRNA
ENSG00000226318	RPS3AP38	RPS3A pseudogene 38	pseudo
ENSG00000226320	LINC01811	long intergenic non-protein coding RNA 1811	ncRNA
ENSG00000226321	CROCC2	ciliary rootlet coiled-coil, rootletin family member 2	protein-coding
ENSG00000226323			
ENSG00000226324			
ENSG00000226327	RPSAP49	ribosomal protein SA pseudogene 49	pseudo
ENSG00000226328	NUP50-DT	NUP50 divergent transcript	ncRNA
ENSG00000226329			
ENSG00000226330	PPP1R15B-AS1	PPP1R15B and PIK3C2B antisense RNA 1	
ENSG00000226331	RPL23AP28	ribosomal protein L23a pseudogene 28	pseudo
ENSG00000226332			
ENSG00000226334			
ENSG00000226336	MRPS16P3	mitochondrial ribosomal protein S16 pseudogene 3	pseudo
ENSG00000226337	TMEM252-DT	TMEM252 divergent transcript	ncRNA
ENSG00000226338			
ENSG00000226339	RPS26P56	ribosomal protein S26 pseudogene 56	
ENSG00000226340	USP8P2	USP8 pseudogene 2	
ENSG00000226341	MTCYBP39	MT-CYB pseudogene 39	pseudo
ENSG00000226342	NMD3P1	NMD3 ribosome export adaptor pseudogene 1	
ENSG00000226344	CST12P	cystatin 12, pseudogene	pseudo
ENSG00000226345	ZDHHC1P1	ZDHHC1 pseudogene 1	pseudo
ENSG00000226348	VN2R10P	vomeronasal 2 receptor 10, pseudogene	pseudo
ENSG00000226349			
ENSG00000226352	PSPC1-AS2	PSPC1 antisense RNA 2	
ENSG00000226353	TAF9P1	TATA-box binding protein associated factor 9 pseudogene 1	
ENSG00000226355			
ENSG00000226356	RPS6P20	ribosomal protein S6 pseudogene 20	
ENSG00000226358	KRT8P38	keratin 8 pseudogene 38	pseudo
ENSG00000226359	ACTG1P24	actin gamma 1 pseudogene 24	pseudo
ENSG00000226360	RPL10AP6	ribosomal protein L10a pseudogene 6	pseudo
ENSG00000226361	TERF1P5	TERF1 pseudogene 5	
ENSG00000226362			
ENSG00000226363	HAGLROS	HAGLR opposite strand lncRNA	
ENSG00000226364	LINC02089	long intergenic non-protein coding RNA 2089	ncRNA
ENSG00000226366	CCDC12P1	CCDC12 pseudogene 1	
ENSG00000226367	ST7-AS2	ST7 antisense RNA 2	ncRNA
ENSG00000226369	USP9YP11	USP9Y pseudogene 11	
ENSG00000226370	LINC00375	long intergenic non-protein coding RNA 375	
ENSG00000226372	DCAF8L1	DDB1 and CUL4 associated factor 8 like 1	protein-coding
ENSG00000226374	LINC01345	long intergenic non-protein coding RNA 1345	ncRNA
ENSG00000226375			
ENSG00000226376			
ENSG00000226377			
ENSG00000226380			
ENSG00000226383	LINC01876	long intergenic non-protein coding RNA 1876	ncRNA
ENSG00000226386	PARD3-DT	PARD3 divergent transcript	
ENSG00000226387	SORCS3-AS1	SORCS3 antisense RNA 1	ncRNA
ENSG00000226388	ELL2P4	elongation factor for RNA polymerase II 2 pseudogene 4	
ENSG00000226389	MAPK6P6	mitogen-activated protein kinase 6 pseudogene 6	
ENSG00000226390	KCNQ2-AS1	KCNQ2 antisense RNA 1	
ENSG00000226392	MTATP6P21	MT-ATP6 pseudogene 21	pseudo
ENSG00000226393	IFNA20P	interferon alpha 20, pseudogene	pseudo
ENSG00000226394			
ENSG00000226395	MRPS21P5	mitochondrial ribosomal protein S21 pseudogene 5	pseudo
ENSG00000226396			
ENSG00000226397	LINC02909	long intergenic non-protein coding RNA 2909	ncRNA
ENSG00000226398			
ENSG00000226400			
ENSG00000226401			
ENSG00000226403			
ENSG00000226405			
ENSG00000226406	RBMX2P1	RBMX2 pseudogene 1	pseudo
ENSG00000226407	RPL23P11	ribosomal protein L23 pseudogene 11	pseudo
ENSG00000226409	LOC102723341	uncharacterized LOC102723341	ncRNA
ENSG00000226410			
ENSG00000226411			
ENSG00000226412	LINC02628	long intergenic non-protein coding RNA 2628	
ENSG00000226413	OR8T1P	olfactory receptor family 8 subfamily T member 1 pseudogene	pseudo
ENSG00000226414	MTCYBP38	MT-CYB pseudogene 38	pseudo
ENSG00000226415	TPI1P1	triosephosphate isomerase 1 pseudogene 1	
ENSG00000226416	MRPL23-AS1	MRPL23 antisense RNA 1	ncRNA
ENSG00000226419	SLC16A1-AS1	SLC16A1 antisense RNA 1	ncRNA
ENSG00000226420	IGLV3-4	immunoglobulin lambda variable 3-4 (pseudogene)	
ENSG00000226421	SLC25A5P5	solute carrier family 25 member 5 pseudogene 5	pseudo
ENSG00000226423			
ENSG00000226425	CYP26C1-DT	CYP26C1 divergent transcript	
ENSG00000226426	LOC105378333	uncharacterized LOC105378333	ncRNA
ENSG00000226427	HMGN2P7	high mobility group nucleosomal binding domain 2 pseudogene 7	
ENSG00000226428	RPL15P13	ribosomal protein L15 pseudogene 13	pseudo
ENSG00000226429			
ENSG00000226430	USP17L7	ubiquitin specific peptidase 17 like family member 7	protein-coding
ENSG00000226431			
ENSG00000226432	AKTIPP2	AKTIP pseudogene 2	
ENSG00000226433			
ENSG00000226434			
ENSG00000226435	ANKRD18DP	ankyrin repeat domain 18D, pseudogene	pseudo
ENSG00000226436	H3P43	H3 histone pseudogene 43	pseudo
ENSG00000226438			
ENSG00000226439	RPS12P9	ribosomal protein S12 pseudogene 9	pseudo
ENSG00000226440	LAMA4-AS1	LAMA4 antisense RNA 1	
ENSG00000226441	PLCL2-AS1	PLCL2 antisense RNA 1	
ENSG00000226442			
ENSG00000226443	GAPDHP32	glyceraldehyde 3 phosphate dehydrogenase pseudogene 32	
ENSG00000226444	ACTR3BP7	ACTR3B pseudogene 7	
ENSG00000226445	THBS2-AS1	THBS2 antisense RNA 1	
ENSG00000226446	NOTCH2P1	notch 2 pseudogene 1	pseudo
ENSG00000226447	ZNF25-DT	ZNF25 divergent transcript	ncRNA
ENSG00000226448	RPL7AP51	ribosomal protein L7a pseudogene 51	pseudo
ENSG00000226449	CDY5P	chromodomain Y-linked 5 pseudogene	
ENSG00000226450	CYP2D8P	ccytochrome P450 family 2 subfamily D member 8, pseudogene	pseudo
ENSG00000226453	LINC02542	long intergenic non-protein coding RNA 2542	ncRNA
ENSG00000226454	LOC105379699	uncharacterized LOC105379699	ncRNA
ENSG00000226455			
ENSG00000226457	RPL22P3	ribosomal protein L22 pseudogene 3	pseudo
ENSG00000226461	OR10G5P	olfactory receptor family 10 subfamily G member 5 pseudogene	
ENSG00000226465			
ENSG00000226466	RPA2P2	replication protein A2 pseudogene 2	
ENSG00000226468			
ENSG00000226469	ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)	pseudo
ENSG00000226470	RPS29P33	ribosomal protein S29 pseudogene 33	pseudo
ENSG00000226471			
ENSG00000226472			
ENSG00000226473	PPIAP62	peptidylprolyl isomerase A pseudogene 62	
ENSG00000226474			
ENSG00000226476	LINC01748	long intergenic non-protein coding RNA 1748	ncRNA
ENSG00000226477			
ENSG00000226478	UPF3AP1	UPF3A pseudogene 1	
ENSG00000226479	TMEM185B	transmembrane protein 185B	protein-coding
ENSG00000226480	OR7H1P	olfactory receptor family 7 subfamily H member 1 pseudogene	pseudo
ENSG00000226481	ACTR3BP2	ACTR3B pseudogene 2	
ENSG00000226482	ADIPOQ-AS1	ADIPOQ antisense RNA 1	ncRNA
ENSG00000226483	RPL7L1P21	RPL7L1 pseudogene 21	pseudo
ENSG00000226484	LOC101928627	uncharacterized LOC101928627	ncRNA
ENSG00000226485	RBM22P3	RNA binding motif protein 22 pseudogene 3	pseudo
ENSG00000226486	LINC01035	long intergenic non-protein coding RNA 1035	
ENSG00000226487			
ENSG00000226488	LINC01824	long intergenic non-protein coding RNA 1824	ncRNA
ENSG00000226489	RPL36AP17	ribosomal protein L36a pseudogene 17	pseudo
ENSG00000226490	C8orf90	chromosome 8 open reading frame 90	protein-coding
ENSG00000226491	FTOP1	FTO pseudogene 1	
ENSG00000226493	RPL26P27	ribosomal protein L26 pseudogene 27	pseudo
ENSG00000226496	LINC00323	long intergenic non-protein coding RNA 323	ncRNA
ENSG00000226497	LINC02549	long intergenic non-protein coding RNA 2549	ncRNA
ENSG00000226498	RPSAP21	ribosomal protein SA pseudogene 21	pseudo
ENSG00000226499			
ENSG00000226500			
ENSG00000226501	USF1P1	upstream transcription factor 1 pseudogene 1	pseudo
ENSG00000226502	KRT8P27	keratin 8 pseudogene 27	
ENSG00000226504	TMEM167AP1	transmembrane protein 167A pseudogene 1	
ENSG00000226506	LOC101929861	uncharacterized LOC101929861	ncRNA
ENSG00000226506	LOC101929551	uncharacterized LOC101929551	ncRNA
ENSG00000226507	IPMKP1	inositol polyphosphate multikinase pseudogene 1	
ENSG00000226508	LINC01918	long intergenic non-protein coding RNA 1918	ncRNA
ENSG00000226509			
ENSG00000226510	UPK1A-AS1	UPK1A antisense RNA 1	
ENSG00000226515			
ENSG00000226516	FAM138B	family with sequence similarity 138 member B	ncRNA
ENSG00000226519	SMIM2-IT1	SMIM2 intronic transcript 1	ncRNA
ENSG00000226519	SMIM2	small integral membrane protein 2	ncRNA
ENSG00000226520	KIRREL1-IT1	KIRREL1 intronic transcript 1	
ENSG00000226521			
ENSG00000226522	HDAC9-AS1	HDAC9 antisense RNA 1	
ENSG00000226523			
ENSG00000226525	RPS7P10	ribosomal protein S7 pseudogene 10	pseudo
ENSG00000226526			
ENSG00000226527	LOC101928107	uncharacterized LOC101928107	ncRNA
ENSG00000226529	MTND1P1	MT-ND1 pseudogene 1	pseudo
ENSG00000226530			
ENSG00000226532			
ENSG00000226533	BTBD9-AS1	BTBD9 antisense RNA 1	ncRNA
ENSG00000226534	SUSD2P1	sushi domain containing 2 pseudogene 1	pseudo
ENSG00000226535			
ENSG00000226536	SETP15	SET pseudogene 15	
ENSG00000226537	OR7E33P	olfactory receptor family 7 subfamily E member 33 pseudogene	
ENSG00000226539	MLXP1	MLX pseudogene 1	
ENSG00000226540	GAPDHP73	glyceraldehyde-3-phosphate dehydrogenase pseudogene 73	
ENSG00000226541	RPL36P10	ribosomal protein L36 pseudogene 10	pseudo
ENSG00000226542			
ENSG00000226543	MYL6P1	MYL6 pseudogene 1	
ENSG00000226544	RPL7P22	ribosomal protein L7 pseudogene 22	pseudo
ENSG00000226545	RPL27P3	ribosomal protein L27 pseudogene	pseudo
ENSG00000226547	SSU72P1	SSU72 pseudogene 1	pseudo
ENSG00000226548			
ENSG00000226549	SCDP1	stearoyl-CoA desaturase pseudogene 1	
ENSG00000226552	LOC646804	alkylated DNA repair protein alkB homolog 8-like	pseudo
ENSG00000226553	IMPDH1P7	inosine monophosphate dehydrogenase 1 pseudogene 7	
ENSG00000226554	MTCL1P1	MTCL1 pseudogene 1	
ENSG00000226555	AGKP1	AGK pseudogene 1	pseudo
ENSG00000226556	NPM1P49	nucleophosmin 1 pseudogene 49	pseudo
ENSG00000226557	TRAF6P1	TNF receptor associated factor 6 pseudogene 1	
ENSG00000226558			
ENSG00000226562	CYP4F26P	cytochrome P450 family 4 subfamily F member 26, pseudogene	pseudo
ENSG00000226564	FTH1P20	ferritin heavy chain 1 pseudogene 20	
ENSG00000226565			
ENSG00000226566			
ENSG00000226567	LINC00606	long intergenic non-protein coding RNA 606	ncRNA
ENSG00000226570			
ENSG00000226571	LOC102723690	uncharacterized LOC102723690	ncRNA
ENSG00000226572	SNORD57	small nucleolar RNA, C/D box 57	snoRNA
ENSG00000226573	RPL36P17	ribosomal protein L36 pseudogene 17	pseudo
ENSG00000226576			
ENSG00000226577	MICC	MHC class I polypeptide-related sequence C (pseudogene)	
ENSG00000226578			
ENSG00000226579	MTCYBP31	MT-CYB pseudogene 31	pseudo
ENSG00000226580	RPL39P40	ribosomal protein L39 pseudogene 40	
ENSG00000226581	LINC02848	long intergenic non-protein coding RNA 2848	ncRNA
ENSG00000226582	UBE2V1P5	UBE2V1 pseudogene 5	pseudo
ENSG00000226587			
ENSG00000226590	UBE2V1P10	UBE2V1 pseudogene 10	pseudo
ENSG00000226592			
ENSG00000226594			
ENSG00000226595			
ENSG00000226597	IFNWP9	interferon omega 1 pseudogene 9	pseudo
ENSG00000226599			
ENSG00000226600	CT47A9	cancer/testis antigen family 47 member A9	protein-coding
ENSG00000226601			
ENSG00000226604	PAPPA-AS2	PAPPA antisense RNA 2	
ENSG00000226605			
ENSG00000226608	FTLP3	ferritin light chain pseudogene 3	
ENSG00000226609	SNX30-DT	SNX30 divergent transcript	ncRNA
ENSG00000226611	OFD1P2Y	OFD1 pseudogene 2 Y-linked	pseudo
ENSG00000226616	OR52M2P	olfactory receptor family 52 subfamily M member 2 pseudogene	pseudo
ENSG00000226617	RPL21P110	ribosomal protein L21 pseudogene 110	pseudo
ENSG00000226619			
ENSG00000226620	LINC00343	long intergenic non-protein coding RNA 343	
ENSG00000226621	RPL13AP27	ribosomal protein L13a pseudogene 27	pseudo
ENSG00000226622			
ENSG00000226624	RPL13AP16	ribosomal protein L13a pseudogene 16	pseudo
ENSG00000226625	RBM17P1	RNA binding motif protein 17 pseudogene 1	pseudo
ENSG00000226626	NOP56P2	NOP56 ribonucleoprotein pseudogene 2	pseudo
ENSG00000226627	SHANK2-AS1	SHANK2 antisense RNA 1	ncRNA
ENSG00000226629	LINC00974	long intergenic non-protein coding RNA 974	ncRNA
ENSG00000226631	SLC9A3P3	solute carrier family 9 member 3 pseudogene 3	pseudo
ENSG00000226632	UBE2V1P1	UBE2V1 pseudogene 1	
ENSG00000226633	PPIAP28	peptidylprolyl isomerase A pseudogene 28	pseudo
ENSG00000226636			
ENSG00000226640			
ENSG00000226641	SHISA5P1	SHISA5 pseudogene 1	
ENSG00000226642	ACTG1P12	actin gamma 1 pseudogene 12	pseudo
ENSG00000226643			
ENSG00000226644	LINC03086	long intergenic non-protein coding RNA 3086	
ENSG00000226645	BUD13-DT	BUD13 divergent transcript	ncRNA
ENSG00000226646	RPL7P37	ribosomal protein L7 pseudogene 37	pseudo
ENSG00000226647			
ENSG00000226648	PLCG1-AS1	PLCG1 antisense RNA 1	ncRNA
ENSG00000226649			
ENSG00000226650	KIF4B	kinesin family member 4B	protein-coding
ENSG00000226652	PSMD10P2	proteasome 26S subunit, non-ATPase, 10 pseudogene 2	
ENSG00000226653	OR13Z1P	olfactory receptor family 13 subfamily Z member 1 pseudogene	pseudo
ENSG00000226655	LOC124900775	uncharacterized LOC124900775	ncRNA
ENSG00000226658	RPL23AP30	ribosomal protein L23a pseudogene 30	
ENSG00000226659	TSPAN14-AS1	TSPAN14 antisense RNA 1	
ENSG00000226660	TRBV2	T cell receptor beta variable 2	other
ENSG00000226661			
ENSG00000226662	CHMP1AP1	charged multivesicular body protein 1A pseudogene 1	pseudo
ENSG00000226663	MTND4P10	MT-ND4 pseudogene 10	pseudo
ENSG00000226664			
ENSG00000226665	SSR1P2	signal sequence receptor subunit 1 pseudogene 2	pseudo
ENSG00000226666	HSPA9P1	heat shock protein family A (Hsp70) member 9 pseudogene 1	
ENSG00000226668	SPATA31B2P	SPATA31 subfamily B member 2, pseudogene	
ENSG00000226669			
ENSG00000226670	BCAS2P3	BCAS2 pseudogene 3	
ENSG00000226671	LOC100420647	voltage dependent anion channel 3 pseudogene	pseudo
ENSG00000226673	LINC01108	long intergenic non-protein coding RNA 1108	ncRNA
ENSG00000226674	TEX41	testis expressed 41	ncRNA
ENSG00000226676	LINC02679	long intergenic non-protein coding RNA 2679	ncRNA
ENSG00000226677	IGBP1P1	IGBP1 pseudogene 1	
ENSG00000226679	LOC124905176	uncharacterized LOC124905176	ncRNA
ENSG00000226680			
ENSG00000226681	LOC124907913	uncharacterized LOC124907913	ncRNA
ENSG00000226683	PWWP2AP1	PWWP domain containing 2A pseudogene 1	
ENSG00000226685	CT47A12	cancer/testis antigen family 47 member A12	protein-coding
ENSG00000226686	LINC01535	long intergenic non-protein coding RNA 1535	ncRNA
ENSG00000226688	ENTPD1-AS1	ENTPD1 antisense RNA 1	ncRNA
ENSG00000226690	C7orf78	chromosome 7 open reading frame 78	protein-coding
ENSG00000226693	NXNP1	nucleoredoxin pseudogene 1	
ENSG00000226694			
ENSG00000226695	ANKRD20A10P	ankyrin repeat domain 20 family member A10, pseudogene	
ENSG00000226696	LENG8-AS1	LENG8 antisense RNA 1	ncRNA
ENSG00000226698	GPN2-AS1	GPN2 antisense RNA 1	ncRNA
ENSG00000226699			
ENSG00000226700	MTND4P25	MT-ND4 pseudogene 25	pseudo
ENSG00000226701	RPL15P14	ribosomal protein L15 pseudogene 14	
ENSG00000226702	MIR217HG	MIR217 host gene	
ENSG00000226703	NPM1P4	nucleophosmin 1 pseudogene 4	
ENSG00000226705	SDCBPP1	syndecan binding protein pseudogene 1	pseudo
ENSG00000226706	LOC101928525	uncharacterized LOC101928525	ncRNA
ENSG00000226707			
ENSG00000226708			
ENSG00000226709	FGF12-AS3	FGF12 antisense RNA 3	ncRNA
ENSG00000226711	FAM66C	family with sequence similarity 66 member C	ncRNA
ENSG00000226715	LINC01709	long intergenic non-protein coding RNA 1709	ncRNA
ENSG00000226716			
ENSG00000226717	PTPRD-DT	PTPRD divergent transcript	ncRNA
ENSG00000226718	SNRPGP8	small nuclear ribonucleoprotein polypeptide G pseudogene 8	pseudo
ENSG00000226721	EEF1DP2	eukaryotic translation elongation factor 1 delta pseudogene 2	pseudo
ENSG00000226722	LINC00424	long intergenic non-protein coding RNA 424	ncRNA
ENSG00000226723			
ENSG00000226724	HRGP2	HRG pseudogene 2	pseudo
ENSG00000226725	PABPC1L2B-AS1	PABPC1L2B antisense RNA 1	ncRNA
ENSG00000226726	TMEM256P2	transmembrane protein 256 pseudogene 2	pseudo
ENSG00000226729	RPL35AP30	ribosomal protein L35a pseudogene 30	pseudo
ENSG00000226733	LOC100505985	uncharacterized LOC100505985	ncRNA
ENSG00000226734	SNRPGP12	small nuclear ribonucleoprotein polypeptide G pseudogene 12	pseudo
ENSG00000226738			
ENSG00000226739			
ENSG00000226741	LINC02554	long intergenic non-protein coding RNA 2554	ncRNA
ENSG00000226742	HSBP1L1	heat shock factor binding protein 1 like 1	protein-coding
ENSG00000226744			
ENSG00000226745	OAZ1P1	OAZ1 pseudogene 1	
ENSG00000226746	SMCR5	Smith-Magenis syndrome chromosome region, candidate 5	ncRNA
ENSG00000226747			
ENSG00000226750			
ENSG00000226751			
ENSG00000226752	CUTALP	cutA divalent cation tolerance like, pseudogene	
ENSG00000226753	FOXN3P2	FOXN3 pseudogene 2	
ENSG00000226754	MAGOH-DT	MAGOH divergent transcript	ncRNA
ENSG00000226755	VPS25P1	VPS25 pseudogene 1	
ENSG00000226756	SERTAD2-AS1	SERTAD2 antisense RNA 1	
ENSG00000226757	PP12613	uncharacterized LOC100192379	ncRNA
ENSG00000226758	DISC1-IT1	DISC1 intronic transcript 1	ncRNA
ENSG00000226759	DAB1-AS1	DAB1 antisense RNA 1	ncRNA
ENSG00000226761	TAS2R46	taste 2 receptor member 46	protein-coding
ENSG00000226762	LOC124902537	uncharacterized LOC124902537	ncRNA
ENSG00000226763	SRRM5	serine/arginine repetitive matrix 5	protein-coding
ENSG00000226764			
ENSG00000226765	RPSAP33	ribosomal protein SA pseudogene 33	pseudo
ENSG00000226766	FABP7P1	fatty acid binding protein 7 pseudogene 1	
ENSG00000226767			
ENSG00000226769	GAPDHP54	glyceraldehyde 3 phosphate dehydrogenase pseudogene 54	pseudo
ENSG00000226770	LINC03012	long intergenic non-protein coding RNA 3012	ncRNA
ENSG00000226771			
ENSG00000226772			
ENSG00000226773			
ENSG00000226774	HIKESHIP1	HIKESHI pseudogene 1	
ENSG00000226776	KRTAP3-4P	keratin associated protein 3-4, pseudogene	pseudo
ENSG00000226777	FAM30A	family with sequence similarity 30 member A	ncRNA
ENSG00000226779	NAALADL2-AS2	NAALADL2 antisense RNA 2	
ENSG00000226780	AVPR1B-DT	AVPR1B divergent transcript	ncRNA
ENSG00000226781	TBCAP1	tubulin folding cofactor A pseudogene 1	
ENSG00000226782			
ENSG00000226783	TLK1P1	tousled like kinase 1 pseudogene 1	
ENSG00000226784	PGAM4	phosphoglycerate mutase family member 4	protein-coding
ENSG00000226785			
ENSG00000226789	WBP11P2	WBP11 pseudogene 2	
ENSG00000226790	HNRNPA3P1	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1	
ENSG00000226791	LINC02611	long intergenic non-protein coding RNA 2611	ncRNA
ENSG00000226792	C13orf42	chromosome 13 open reading frame 42	protein-coding
ENSG00000226794	MTND1P20	MT-ND1 pseudogene 20	pseudo
ENSG00000226797	LOC105371856	uncharacterized LOC105371856	ncRNA
ENSG00000226798			
ENSG00000226800	CACTIN-AS1	CACTIN antisense RNA 1	ncRNA
ENSG00000226801	OSTCP8	oligosaccharyltransferase complex subunit pseudogene 8	
ENSG00000226802	RUVBL2P1	RUVBL2 pseudogene 1	pseudo
ENSG00000226803	ZNF451-AS1	ZNF451 regulatory antisense RNA 1	
ENSG00000226804			
ENSG00000226806	LCT-AS1	LCT antisense RNA 1	ncRNA
ENSG00000226807	MROH5	maestro heat like repeat family member 5 (gene/pseudogene)	protein-coding
ENSG00000226808	LINC00840	long intergenic non-protein coding RNA 840	ncRNA
ENSG00000226810			
ENSG00000226812	R3HDML-AS1	R3HDML antisense RNA 1	ncRNA
ENSG00000226813	LINC01941	long intergenic non-protein coding RNA 1941	ncRNA
ENSG00000226814	LOC100130137	integrin subunit beta 1 binding protein 1 pseudogene	pseudo
ENSG00000226816			
ENSG00000226818	SLC6A6P1	solute carrier family 6 member 6 pseudogene 1	
ENSG00000226819	MEIS1-AS3	MEIS1 antisense RNA 3	
ENSG00000226820			
ENSG00000226822			
ENSG00000226823	SUGT1P1	SUGT1 pseudogene 1	
ENSG00000226824	LOC100996437	uncharacterized LOC100996437	ncRNA
ENSG00000226825	LINC01509	long intergenic non-protein coding RNA 1509	
ENSG00000226827	NPM1P11	nucleophosmin 1 pseudogene 11	
ENSG00000226828	LINC02774	long intergenic non-protein coding RNA 2774	ncRNA
ENSG00000226829	LOC105375341	uncharacterized LOC105375341	ncRNA
ENSG00000226831	MED15P3	mediator complex subunit 15 pseudogene 3	pseudo
ENSG00000226833	PPP1CB-DT	PPP1CB divergent transcript	ncRNA
ENSG00000226835	ARHGAP29-AS1	ARHGAP29 antisense RNA 1	ncRNA
ENSG00000226836	RPL32P19	ribosomal protein L32 pseudogene 19	pseudo
ENSG00000226837	HMGB1P32	high mobility group box 1 pseudogene 32	pseudo
ENSG00000226838			
ENSG00000226839	MTND6P11	MT-ND6 pseudogene 11	pseudo
ENSG00000226840	PAICSP3	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase pseudogene 3	
ENSG00000226842			
ENSG00000226843			
ENSG00000226845	EEF1GP3	eukaryotic translation elongation factor 1 gamma pseudogene 3	pseudo
ENSG00000226846	LINC00348	long intergenic non-protein coding RNA 348	ncRNA
ENSG00000226847	PRPS1P1	phosphoribosyl pyrophosphate synthetase 1 pseudogene 1	pseudo
ENSG00000226849			
ENSG00000226851	ZNF277-AS1	ZNF277 antisense RNA 1	ncRNA
ENSG00000226853	GPR155-DT	GPR155 divergent transcript	
ENSG00000226854			
ENSG00000226855	RPSAP17	ribosomal protein SA pseudogene 17	pseudo
ENSG00000226856	LOC124907879	uncharacterized LOC124907879	ncRNA
ENSG00000226857	DUTP3	deoxyuridine triphosphatase pseudogene 3	pseudo
ENSG00000226859	LINC02051	long intergenic non-protein coding RNA 2051	
ENSG00000226860	RBX1P1	RBX1 pseudogene 1	
ENSG00000226861			
ENSG00000226862	SYT2-AS1	SYT2 antisense RNA 1	
ENSG00000226863	SHROOM2P1	shroom family member 2 pseudogene 1	
ENSG00000226864	ATE1OSP	ATE1 opposite strand, pseudogene	
ENSG00000226867	SSX21P	SSX family member 21, pseudogene	pseudo
ENSG00000226868			
ENSG00000226869	LHFPL3-AS1	LHFPL3 antisense RNA 1	ncRNA
ENSG00000226870			
ENSG00000226871			
ENSG00000226872			
ENSG00000226873	CDY14P	chromodomain Y-linked 14 pseudogene	pseudo
ENSG00000226874	TRPC6P10	TRPC6 pseudogene 10	pseudo
ENSG00000226875	ZNF877P	zinc finger protein 877, pseudogene	
ENSG00000226876	SMYD3-AS1	SMYD3 antisense RNA 1	ncRNA
ENSG00000226877	LOC124900638	uncharacterized LOC124900638	ncRNA
ENSG00000226878	GSTM3P2	glutathione S-transferase mu 3 pseudogene 2	
ENSG00000226881	H3P44	H3 histone pseudogene 44	
ENSG00000226883			
ENSG00000226884	RPS29P10	ribosomal protein S29 pseudogene 10	pseudo
