gene,expression
EED,124
EEF1A1,82812
EEF1A2,3883
EEF1B2,9539
EEF1D,2181
EEF1DP3,22
EEF1E1,340
EEF1G,270
EEF2,77
EEF2K,0
EEF2KMT,76
EEFSEC,142
EEPD1,62
EFCAB1,5
EFCAB10,2
EFCAB11,47
EFCAB12,31
EFCAB13,10
EFCAB14,1058
EFCAB2,39
EFCAB3,1
EFCAB5,2
EFCAB6,16
EFCAB7,46
EFCC1,31
EFEMP1,47
EFEMP2,101
EFHB,24
EFHC1,288
EFHC2,26
EFHD1,54
EFHD2,433
EFNA1,434
EFNA2,0
EFNA3,42
EFNA4,50
EFNA5,448
EFNB1,249
EFNB2,158
EFNB3,316
EFR3A,804
EFR3B,0
EFS,93
EFTUD1,155
EFTUD2,443
EGF,4
EGFEM1P,4
EGFL6,3
EGFL7,615
EGFL8,0
EGFLAM,6
EGFR,175
EGLN1,471
EGLN2,397
EGLN3,13
EGOT,10
EGR1,3052
EGR2,95
EGR3,133
EGR4,386
EHBP1,737
EHBP1L1,576
EHD1,379
EHD2,240
EHD3,110
EHD4,319
EHF,68
EHHADH,77
EHMT1,202
EHMT2,264
EI24,2296
EID1,1485
EID2,354
EID2B,82
EID3,32
EIF1,17835
EIF1AD,143
EIF1AX,1730
EIF1AY,857
EIF1B,932
EIF2A,481
EIF2AK1,1513
EIF2AK2,505
EIF2AK3,238
EIF2AK4,237
EIF2B1,385
EIF2B2,395
EIF2B3,211
EIF2B4,212
EIF2B5,590
EIF2D,301
EIF2S1,645
EIF2S2,2064
EIF2S3,549
EIF2S3L,18
EIF3A,954
EIF3B,1507
EIF3C,1527
EIF3CL,0
EIF3D,1566
EIF3E,1693
EIF3F,1073
EIF3G,1286
EIF3H,3227
EIF3I,1249
EIF3J,973
EIF3K,2453
EIF3L,1881
EIF3M,985
EIF4A1,1625
EIF4A2,6306
EIF4A3,617
EIF4B,5195
EIF4E,928
EIF4E2,667
EIF4E3,403
EIF4EBP1,665
EIF4EBP2,1071
EIF4EBP3,40
EIF4ENIF1,190
EIF4G1,2192
EIF4G2,6110
EIF4G3,666
EIF4H,2321
EIF5,1497
EIF5A,4156
EIF5A2,121
EIF5AL1,358
EIF5B,1516
EIF6,859
ELAC1,103
ELAC2,303
ELANE,0
ELAVL1,961
ELAVL2,0
ELAVL4,573
ELF1,411
ELF2,358
ELF3,1581
ELF4,123
ELF5,1
ELFN1,11
ELFN2,0
ELK1,336
ELK3,192
ELK4,431
ELL,207
ELL2,2346
ELL3,0
ELMO1,1452
ELMO2,248
ELMO3,59
ELMOD1,0
ELMOD2,237
ELMOD3,143
ELMSAN1,259
ELN,20
ELOF1,377
ELOVL1,651
ELOVL2,13
ELOVL3,4
ELOVL4,94
ELOVL5,855
ELOVL6,172
ELOVL7,110
ELP2,392
ELP3,296
ELP4,243
ELP5,591
ELP6,167
ELSPBP1,0
EMB,184
EMBP1,1
EMC1,356
EMC10,3561
EMC2,438
EMC3,619
EMC4,1319
EMC6,886
EMC7,1340
EMC8,423
EMC9,173
EMCN,84
EMD,916
EME1,4
EME2,28
EMG1,531
EMID1,4
EMILIN1,295
EMILIN2,57
EMILIN3,5
EML1,134
EML2,297
EML3,220
EML4,337
EML5,41
EML6,49
EMP1,446
EMP2,279
EMP3,295
EMX1,1
EMX2,1
EMX2OS,0
EN1,3
EN2,1
ENAH,830
ENAM,188
ENC1,341
ENDOD1,601
ENDOG,435
ENDOU,0
ENDOV,48
ENG,1997
ENGASE,17
ENHO,14
ENKD1,219
ENKUR,57
ENO1,7018
ENO2,1407
ENO3,24
ENO4,0
ENOPH1,983
ENOSF1,137
ENOX1,62
ENOX2,92
ENPEP,35
ENPP1,143
ENPP2,1945
ENPP3,3
ENPP4,504
ENPP5,384
ENPP6,3
ENPP7,0
ENSA,1600
ENTHD1,0
ENTHD2,98
ENTPD1,23
ENTPD2,83
ENTPD3,615
ENTPD4,450
ENTPD5,13
ENTPD6,191
ENTPD7,28
ENTPD8,1
ENY2,1196
EOGT,91
EOMES,3
EP300,510
EP400,253
EP400NL,57
EPAS1,2195
EPB41,213
EPB41L1,615
EPB41L2,258
EPB41L3,651
EPB41L4A,31
EPB41L4B,639
EPB41L5,253
EPB42,0
EPC1,381
EPC2,165
EPCAM,4318
EPDR1,245
EPG5,311
EPGN,0
EPHA1,18
EPHA10,1
EPHA2,106
EPHA3,10
EPHA4,18
EPHA5,2
EPHA6,2
EPHA7,0
EPHA8,14
EPHB1,2
EPHB2,118
EPHB3,14
EPHB4,97
EPHB6,22
EPHX1,701
EPHX2,282
EPHX3,24
EPHX4,16
EPM2A,90
EPM2AIP1,620
EPN1,613
EPN2,390
EPN3,26
EPO,2
EPOR,136
EPPIN,0
EPPIN-WFDC6,0
EPPK1,3
EPRS,1275
EPS15,662
EPS15L1,176
EPS8,179
EPS8L1,38
EPS8L2,368
EPS8L3,15
EPSTI1,186
EPT1,454
EPX,0
EPYC,0
EQTN,1
ERAL1,461
ERAP1,71
ERAP2,63
ERAS,2
ERBB2,93
ERBB2IP,296
ERBB3,143
ERBB4,57
ERC1,364
ERC2,16
ERCC1,431
ERCC2,88
ERCC3,382
ERCC4,128
ERCC5,235
ERCC6,57
ERCC6-PGBD3,5
ERCC6L,1
ERCC6L2,79
ERCC8,68
EREG,0
ERF,518
ERG,149
ERGIC1,1144
ERGIC2,563
ERGIC3,1944
ERH,3349
ERI1,108
ERI2,48
ERI3,481
ERICH1,247
ERICH2,30
ERICH3,16
ERICH5,160
ERICH6,0
ERICH6B,0
ERLEC1,1206
ERLIN1,563
ERLIN2,288
ERMAP,7
ERMARD,178
ERMN,40
ERMP1,113
ERN1,248
ERN2,5
ERO1A,696
ERO1B,5984
ERP27,167
ERP29,2509
ERP44,1260
ERRFI1,1035
ERV3-1,93
ERVFRD-1,0
ERVH-1,0
ERVH48-1,0
ERVK3-1,50
ERVMER34-1,3
ERVMER61-1,0
ERVV-1,0
ERVW-1,0
ESAM,507
ESCO1,198
ESCO2,0
ESD,641
ESM1,315
ESPL1,9
ESPN,3
ESPNL,2
ESPNP,0
ESR1,118
ESR2,2
ESRG,0
ESRP1,490
ESRP2,86
ESRRA,689
ESRRB,2
ESRRG,61
ESX1,0
ESYT1,2009
ESYT2,730
ESYT3,1
ETAA1,119
ETF1,1376
ETFA,532
ETFB,1136
ETFDH,309
ETHE1,458
ETNK1,737
ETNK2,291
ETNPPL,0
ETS1,871
ETS2,717
ETV1,676
ETV2,64
ETV3,134
ETV3L,0
ETV4,33
ETV5,393
ETV6,191
ETV7,21
EVA1A,72
EVA1B,527
EVA1C,59
EVC,7
EVC2,6
EVI2A,1
EVI2B,13
EVI5,317
EVI5L,149
EVL,396
EVPL,25
EVPLL,0
EVX1,0
EWSAT1,0
EWSR1,1180
EXD1,2
EXD2,152
EXD3,73
EXO1,2
EXO5,41
EXOC1,194
EXOC2,263
EXOC3,387
EXOC3L1,23
EXOC3L2,28
EXOC3L4,3
EXOC4,315
EXOC5,617
EXOC6,165
EXOC6B,170
EXOC7,318
EXOC8,145
EXOG,144
EXOSC1,345
EXOSC10,172
EXOSC2,33
EXOSC3,119
EXOSC4,200
EXOSC5,125
EXOSC6,283
EXOSC7,277
EXOSC8,287
EXOSC9,90
EXPH5,54
EXT1,353
EXT2,429
EXTL1,0
EXTL2,109
EXTL3,570
EYA1,0
EYA2,5
EYA3,267
EYA4,21
EYS,43
EZH1,230
EZH2,39
EZR,1052
F10,308
F11,11
F11R,684
F12,129
F13A1,3
F13B,0
F2,1
F2R,217
F2RL1,107
F2RL2,38
F2RL3,7
F3,868
F5,23
F7,10
F8,46
F8A1,179
F8A2,12
F8A3,26
F9,0
FA2H,104
FAAH,142
FAAH2,227
FAAP100,235
FAAP20,863
FAAP24,14
FABP1,0
FABP12,1
FABP2,0
FABP3,1
FABP4,224
FABP5,1398
FABP6,0
FABP7,0
FABP9,0
FADD,311
FADS1,764
FADS2,969
FADS3,116
FADS6,0
FAF1,506
FAF2,620
FAH,159
FAHD1,82
FAHD2A,143
FAHD2B,167
FAHD2CP,25
FAIM,105
FAIM2,20
FAM101A,2
FAM101B,213
FAM102A,2494
FAM102B,54
FAM103A1,201
FAM104A,344
FAM104B,284
FAM105A,465
FAM106A,1
FAM107A,18
FAM107B,694
FAM109A,20
FAM109B,180
FAM110A,117
FAM110B,78
FAM110C,96
FAM110D,23
FAM111A,15
FAM111B,0
FAM114A1,647
FAM114A2,275
FAM117A,326
FAM117B,89
FAM118A,134
FAM118B,124
FAM120A,2314
FAM120AOS,428
FAM120B,190
FAM120C,142
FAM122A,260
FAM122B,197
FAM122C,24
FAM124A,8
FAM124B,4
FAM126A,113
FAM126B,307
FAM127A,1939
FAM127B,842
FAM127C,330
FAM129A,234
FAM129B,1315
FAM129C,0
FAM131A,505
FAM131B,7
FAM131C,368
FAM132A,7
FAM132B,97
FAM133A,10
FAM133B,340
FAM134A,867
FAM134B,543
FAM134C,611
FAM135A,245
FAM135B,7
FAM136A,513
FAM138A,0
FAM138B,0
FAM138C,0
FAM138D,0
FAM138E,0
FAM13A,98
FAM13B,128
FAM13C,50
FAM149A,191
FAM149B1,118
FAM150A,2
FAM150B,152
FAM151A,0
FAM151B,9
FAM153A,20
FAM153B,47
FAM153C,2
FAM155A,101
FAM155A-IT1,3
FAM155B,52
FAM156A,2
FAM156B,0
FAM157C,0
FAM159A,3
FAM159B,641
FAM160A1,1
FAM160A2,216
FAM160B1,250
FAM160B2,223
FAM161A,113
FAM161B,42
FAM162A,1356
FAM162B,17
FAM163A,29
FAM163B,0
FAM166A,3
FAM166B,15
FAM167A,500
FAM167B,72
FAM168A,226
FAM168B,697
FAM169A,126
FAM169B,0
FAM170A,0
FAM170B,0
FAM171A1,186
FAM171A2,180
FAM171B,165
FAM172A,256
FAM173A,455
FAM173B,90
FAM174A,1090
FAM174B,639
FAM175A,65
FAM175B,237
FAM177A1,1174
FAM177B,33
FAM178B,2
FAM179A,43
FAM179B,148
FAM180A,5
FAM180B,0
FAM181A,0
FAM181B,76
FAM182A,19
FAM182B,8
FAM183A,37
FAM183B,1
FAM183CP,0
FAM184A,53
FAM184B,0
FAM185A,43
FAM186A,0
FAM186B,7
FAM187A,12
FAM187B,0
FAM188A,228
FAM188B,13
FAM189A1,2
FAM189A2,3
FAM189B,93
FAM192A,510
FAM193A,166
FAM193B,57
FAM195A,551
FAM195B,595
FAM196A,2
FAM196B,0
FAM197Y2,0
FAM197Y3,0
FAM197Y4,0
FAM197Y5,0
FAM197Y6,0
FAM197Y7,0
FAM197Y8,0
FAM197Y9,0
FAM198A,1
FAM198B,204
FAM199X,422
FAM19A1,3
FAM19A2,14
FAM19A3,0
FAM19A4,12
FAM19A5,46
FAM200A,7
FAM200B,519
FAM201A,1
FAM204A,408
FAM205A,0
FAM205BP,0
FAM206A,110
FAM207A,244
FAM208A,276
FAM208B,152
FAM209A,1
FAM209B,3
FAM20A,20
FAM20B,473
FAM20C,351
FAM210A,129
FAM210B,1085
FAM212A,38
FAM212B,64
FAM213A,829
FAM213B,21
FAM214A,175
FAM214B,177
FAM215B,19
FAM216A,62
FAM216B,0
FAM217A,0
FAM217B,177
FAM218A,30
FAM219A,287
FAM219B,447
FAM21A,124
FAM21C,121
FAM21EP,23
FAM220A,244
FAM221A,93
FAM221B,0
FAM222A,369
FAM222B,410
FAM224A,0
FAM224B,0
FAM225A,0
FAM225B,1
FAM227B,18
FAM228A,4
FAM228B,107
FAM229A,68
FAM229B,498
FAM230A,0
FAM230C,0
FAM231A,0
FAM231C,0
FAM231D,0
FAM24B,77
FAM25A,0
FAM25BP,0
FAM25C,0
FAM25G,0
FAM26D,0
FAM26E,8
FAM27C,380
FAM27E3,82
FAM27L,0
FAM32A,882
FAM35A,374
FAM3A,269
FAM3B,374
FAM3C,1938
FAM3D,12
FAM41C,26
FAM43A,186
FAM43B,5
FAM45A,399
FAM46A,946
FAM46B,48
FAM46C,892
FAM46D,0
FAM47A,0
FAM47B,0
FAM47C,1
FAM47E,198
FAM47E-STBD1,1458
FAM49A,20
FAM49B,481
FAM50A,627
FAM50B,80
FAM53A,5
FAM53B,196
FAM53C,449
FAM57A,286
FAM57B,44
FAM58A,555
FAM60A,627
FAM63A,79
FAM63B,254
FAM64A,2
FAM65A,565
FAM65B,5
FAM65C,0
FAM66A,2
FAM66B,0
FAM66C,33
FAM66E,0
FAM69A,33
FAM69B,125
FAM69C,4
FAM71A,5
FAM71B,0
FAM71C,0
FAM71D,10
FAM71E1,62
FAM71E2,0
FAM71F1,1
FAM71F2,10
FAM72A,0
FAM72B,1
FAM72C,0
FAM72D,0
FAM73A,227
FAM73B,103
FAM74A1,0
FAM74A4,0
FAM74A6,0
FAM76A,174
FAM76B,109
FAM78A,10
FAM78B,14
FAM81A,9
FAM81B,11
FAM83A,6
FAM83B,6
FAM83C,2
FAM83D,3
FAM83E,2
FAM83F,186
FAM83G,0
FAM83H,321
FAM84A,368
FAM84B,251
FAM86B1,17
FAM86B2,0
FAM86B3P,3
FAM86C1,68
FAM86C2P,20
FAM86DP,58
FAM86EP,91
FAM86HP,9
FAM86JP,13
FAM87A,0
FAM87B,0
FAM89A,87
FAM89B,779
FAM8A1,467
FAM90A1,11
FAM90A24P,0
FAM91A1,355
FAM92A1,19
FAM92B,0
FAM95B1,2
FAM95C,1
FAM96A,1130
FAM96B,1550
FAM98A,608
FAM98B,16
FAM98C,279
FAM99A,0
FAM9A,0
FAM9B,0
FAM9C,1
FAN1,268
FANCA,8
FANCB,4
FANCC,43
FANCD2,9
FANCD2OS,0
FANCE,39
FANCF,642
FANCG,86
FANCI,26
FANCL,97
FANCM,23
FANK1,75
FAP,247
FAR1,452
FAR2,11
FAR2P1,17
FAR2P2,637
FAR2P3,12
FAR2P4,2
FARP1,444
FARP2,219
FARS2,150
FARSA,537
FARSB,700
FAS,39
FASLG,0
FASN,606
FASTK,874
FASTKD1,205
FASTKD2,229
FASTKD3,100
FASTKD5,148
FAT1,222
FAT2,2
FAT3,0
FAT4,3
FATE1,10
FAU,13532
FAXC,117
FAXDC2,21
FBF1,37
FBL,1524
FBLIM1,127
FBLL1,163
FBLN1,142
FBLN2,4
FBLN5,25
FBLN7,111
FBN1,154
FBN2,6
FBN3,0
FBP1,100
FBP2,0
FBP2P1,0
FBRS,486
FBRSL1,451
FBXL12,105
FBXL13,1
FBXL14,25
FBXL15,458
FBXL16,483
FBXL17,611
FBXL18,44
FBXL19,91
FBXL2,75
FBXL20,173
FBXL21,3
FBXL22,4
FBXL3,305
FBXL4,185
FBXL5,658
FBXL6,72
FBXL7,33
FBXL8,39
FBXO10,63
FBXO11,420
FBXO15,24
FBXO16,1965
FBXO17,89
FBXO18,603
FBXO2,151
FBXO21,607
FBXO22,353
FBXO24,5
FBXO25,461
FBXO27,124
FBXO28,189
FBXO3,386
FBXO30,305
FBXO31,228
FBXO32,121
FBXO33,314
FBXO34,315
FBXO36,94
FBXO38,213
FBXO39,0
FBXO4,72
FBXO40,1
FBXO41,137
FBXO42,186
FBXO43,8
FBXO44,125
FBXO45,193
FBXO46,189
FBXO47,0
FBXO48,54
FBXO5,34
FBXO6,30
FBXO7,3150
FBXO8,381
FBXO9,730
FBXW10,0
FBXW11,794
FBXW12,1
FBXW2,257
FBXW4,555
FBXW5,724
FBXW7,222
FBXW8,192
FBXW9,102
FCAMR,0
FCAR,1
FCER1A,3
FCER1G,128
FCER2,0
FCF1,39
FCGBP,15
FCGR1A,1
FCGR1B,2
FCGR2A,29
FCGR2B,6
FCGR2C,0
FCGR3A,2
FCGR3B,1
FCGRT,838
FCHO1,6
FCHO2,107
FCHSD1,51
FCHSD2,79
FCMR,57
FCN1,1
FCN2,0
FCN3,152
FCRL1,0
FCRL2,0
FCRL3,0
FCRL4,0
FCRL5,0
FCRL6,0
FCRLA,0
FCRLB,4
FDCSP,120
FDFT1,1313
FDPS,980
FDX1,538
FDX1L,151
FDXACB1,54
FDXR,101
FECH,143
FEM1A,297
FEM1B,813
FEM1C,179
FEN1,169
FENDRR,6
FER,112
FER1L4,1
FER1L5,4
FER1L6,0
FERD3L,0
FERMT1,46
FERMT2,296
FERMT3,38
FES,51
FETUB,0
FEV,428
FEZ1,128
FEZ2,181
FEZF1,0
FEZF2,1
FFAR1,14
FFAR2,19
FFAR3,6
FFAR4,356
FGA,17
FGB,33
FGD1,27
FGD2,2
FGD3,4
FGD4,370
FGD5,45
FGD5P1,0
FGD6,57
FGF1,8
FGF10,2
FGF11,13
FGF12,231
FGF13,23
FGF14,451
FGF14-IT1,1
FGF16,0
FGF17,7
FGF18,16
FGF19,479
FGF2,215
FGF20,0
FGF21,0
FGF22,0
FGF23,0
FGF3,0
FGF4,0
FGF5,1
FGF6,0
FGF7,304
FGF8,0
FGF9,69
FGFBP2,0
FGFBP3,139
FGFR1,1279
FGFR1OP,162
FGFR1OP2,409
FGFR2,20
FGFR3,23
FGFR4,24
FGFRL1,67
FGG,284
FGGY,68
FGL1,24
FGL2,38
FGR,5
FH,343
FHAD1,9
FHDC1,63
FHIT,8
FHL1,383
FHL2,222
FHL3,39
FHL5,6
FHOD1,77
FHOD3,26
FIBCD1,0
FIBIN,5
FIBP,938
FICD,574
FIG4,193
FIGF,21
FIGLA,0
FIGN,29
FIGNL1,34
FILIP1,17
FILIP1L,291
FIP1L1,383
FIRRE,0
FIS1,1434
FITM1,8
FITM2,295
FIZ1,261
FJX1,81
FKBP10,414
FKBP11,892
FKBP14,235
FKBP15,271
FKBP1A,4226
FKBP1B,247
FKBP1C,456
FKBP2,2783
FKBP3,818
FKBP4,1692
FKBP5,280
FKBP6,1
FKBP7,183
FKBP8,1910
FKBP9,181
FKBP9P1,204
FKBPL,45
FKRP,54
FKSG51,0
FKSG52,0
FKSG54,0
FKSG56,0
FKSG59,0
FKSG61,0
FKSG62,0
FKSG63,0
FKSG66,0
FKSG68,0
FKSG70,0
FKTN,107
FLAD1,298
FLCN,135
FLG,0
FLI1,35
FLII,660
FLJ12825,1
FLJ20019,0
FLJ20021,66
FLJ21408,16
FLJ22447,0
FLJ22763,1
FLJ26245,0
FLJ26850,16
FLJ27354,11
FLJ31104,1
FLJ31356,5
FLJ31662,0
FLJ33360,0
FLJ33581,0
FLJ35934,0
FLJ36000,0
FLJ37035,29
FLJ37453,157
FLJ37505,1
FLJ38122,7
FLJ40194,0
FLJ40288,0
FLJ41941,0
FLJ42102,1
FLJ42969,0
FLJ43879,0
FLJ45079,0
FLJ46066,0
FLJ46284,0
FLNA,1782
FLNB,1857
FLNC,12
FLOT1,2497
FLOT2,439
FLRT1,23
FLRT2,297
FLRT3,79
FLT1,533
FLT3,1
FLT3LG,78
FLT4,61
FLVCR1,335
FLVCR2,3
FLYWCH1,281
FLYWCH2,94
FMN1,38
FMN2,0
FMNL1,59
FMNL2,84
FMNL3,86
FMO1,3
FMO2,2
FMO3,0
FMO4,1
FMO5,15
FMO6P,0
FMO9P,0
FMOD,263
FMR1,211
FMR1NB,0
FN1,603
FN3K,112
FN3KRP,198
FNBP1,260
FNBP1L,610
FNBP4,472
FNDC1,0
FNDC3A,1182
FNDC3B,1259
FNDC4,277
FNDC5,68
FNDC7,0
FNDC8,0
FNDC9,0
FNIP1,430
FNIP2,1574
FNTA,520
FNTB,260
FOCAD,578
FOLH1,3
FOLH1B,0
FOLR1,12
FOLR2,1
FOLR3,0
FOPNL,425
FOS,3777
FOSB,384
FOSL1,167
FOSL2,525
FOXA1,17
FOXA2,1713
FOXA3,218
FOXB1,1
FOXB2,0
FOXC1,105
FOXC2,16
FOXD1,2
FOXD2,17
FOXD3,4
FOXD4,0
FOXD4L1,0
FOXD4L3,0
FOXD4L4,0
FOXD4L5,2
FOXD4L6,0
FOXE1,18
FOXE3,1
FOXF1,110
FOXF2,45
FOXG1,0
FOXH1,0
FOXI1,0
FOXI2,1
FOXJ1,200
FOXJ2,279
FOXJ3,423
FOXK1,496
FOXK2,535
FOXL1,12
FOXL2,1
FOXL2NB,0
FOXM1,7
FOXN1,0
FOXN2,250
FOXN3,609
FOXN4,0
FOXO1,669
FOXO3,551
FOXO4,56
FOXP1,1190
FOXP1-IT1,19
FOXP2,187
FOXP3,1
FOXP4,728
FOXQ1,2
FOXR1,0
FOXR2,0
FOXRED1,237
FOXRED2,18
FOXS1,75
FPGS,218
FPGT,101
FPGT-TNNI3K,6
FPR1,1
FPR2,0
FPR3,30
FRA10AC1,246
FRAS1,2
FRAT1,39
FRAT2,90
FREM1,3
FREM2,16
FRG1,569
FRG1HP,132
FRG2,0
FRG2B,0
FRG2C,0
FRG2DP,0
FRG2FP,0
FRK,226
FRMD1,1
FRMD3,11
FRMD4A,68
FRMD4B,126
FRMD5,16
FRMD6,65
FRMD7,1
FRMD8,303
FRMPD1,11
FRMPD2,0
FRMPD4,24
FRRS1,0
FRRS1L,260
FRS2,165
FRS3,83
FRY,23
FRYL,308
FRZB,217
FSBP,7
FSCB,0
FSCN1,373
FSCN2,6
FSCN3,0
FSD1,0
FSD1L,87
FSD2,1
FSHB,0
FSHR,0
FSIP1,12
FSIP2,4
FST,28
FSTL1,743
FSTL3,229
FSTL4,77
FSTL5,165
FTCD,29
FTCDNL1,34
FTH1,49812
FTHL17,0
FTL,98846
FTLP10,0
FTMT,0
FTO,25
FTO-IT1,4
FTSJ1,160
FTSJ2,253
FTSJ3,261
FTX,10
FUBP1,828
FUBP3,495
FUCA1,1029
FUCA2,742
FUK,138
FUNDC1,278
FUNDC2,1676
FUNDC2P2,43
FUOM,105
FURIN,888
FUS,1463
FUT1,0
FUT10,48
FUT11,306
FUT2,5
FUT3,14
FUT4,101
FUT5,0
FUT6,3
FUT7,1
FUT8,93
FUT9,1
FUZ,96
FXN,86
FXR1,643
FXR2,475
FXYD1,30
FXYD2,5083
FXYD3,293
FXYD4,0
FXYD5,1106
FXYD6,1275
FXYD7,2
FYB,23
FYCO1,560
FYN,337
FYTTD1,1114
FZD1,95
FZD10,17
FZD2,9
FZD3,373
FZD4,140
FZD5,160
FZD6,118
FZD7,7
FZD8,74
FZD9,1
FZR1,225
G0S2,486
G2E3,149
G3BP1,658
G3BP2,1461
G6PC,4
G6PC2,5588
G6PC3,1069
G6PD,818
GAA,427
GAB1,96
GAB2,197
GAB3,15
GAB4,0
GABARAP,10240
GABARAPL1,2620
GABARAPL2,1970
GABBR1,99
GABBR2,1
GABPA,116
GABPB1,292
GABPB2,96
GABRA1,4
GABRA2,18
GABRA3,2
GABRA4,1
GABRA5,1
GABRA6,0
GABRB1,0
GABRB2,2
GABRB3,949
GABRD,0
GABRE,15
GABRG1,0
GABRG2,37
GABRG3,0
GABRP,105
GABRQ,1
GABRR1,0
GABRR2,1
GABRR3,0
GACAT2,11
GAD1,43
GAD2,5842
GADD45A,1198
GADD45B,661
GADD45G,731
GADD45GIP1,877
GADL1,0
GAFA3,0
GAGE1,0
GAGE12B,0
GAGE12C,0
GAGE12D,0
GAGE12E,0
GAGE12F,0
GAGE12G,0
GAGE12H,0
GAGE12J,0
GAGE13,0
GAGE2A,1
GAGE2E,0
GAK,648
GAL,50
GAL3ST1,78
GAL3ST2,0
GAL3ST3,0
GAL3ST4,8
GALC,44
GALE,263
GALK1,99
GALK2,355
GALM,88
GALNS,5
GALNT1,479
GALNT10,143
GALNT11,250
GALNT12,124
GALNT13,49
GALNT14,66
GALNT15,0
GALNT16,18
GALNT18,66
GALNT2,620
GALNT3,355
GALNT4,0
GALNT5,22
GALNT6,8
GALNT7,130
GALNT8,465
GALNT9,14
GALNTL5,0
GALNTL6,1
GALP,0
GALR1,0
GALR2,1
GALR3,1
GALT,158
GAMT,258
GAN,171
GANAB,1989
GANC,72
GAP43,261
GAPDH,35763
GAPDHS,0
GAPT,3
GAPVD1,299
GAR1,371
GAREM,312
GAREML,36
GARNL3,24
GARS,1397
GART,264
GAS1,21
GAS2,238
GAS2L1,100
GAS2L1P2,0
GAS2L2,0
GAS2L3,18
GAS5,3260
GAS6,116
GAS7,73
GAS8,89
GAST,8
GATA1,2
GATA2,93
GATA3,5
GATA4,67
GATA5,0
GATA6,128
GATAD1,358
GATAD2A,557
GATAD2B,276
GATB,93
GATC,399
GATM,730
GATS,107
GATSL2,0
GATSL3,84
GBA,52
GBA2,407
GBA3,3
GBAP1,2
GBAS,623
GBE1,333
GBF1,624
GBGT1,45
GBP1,67
GBP1P1,0
GBP2,107
GBP3,34
GBP4,34
GBP5,0
GBP6,0
GBP7,0
GBX1,0
GBX2,0
GC,884
GCA,314
GCAT,206
GCC1,324
GCC2,602
GCDH,115
GCFC2,186
GCG,104604
GCGR,121
GCH1,3600
GCHFR,389
GCK,201
GCKR,29
GCLC,362
GCLM,1106
GCM1,3
GCM2,0
GCN1,642
GCNT1,597
GCNT2,24
GCNT3,303
GCNT4,183
GCNT7,0
GCOM1,36
GCSAM,0
GCSAML,1
GCSH,502
GDA,716
GDAP1,224
GDAP1L1,120
GDAP2,104
GDE1,647
GDF1,0
GDF10,2
GDF11,139
GDF15,4806
GDF2,0
GDF3,0
GDF5,0
GDF5OS,0
GDF6,0
GDF7,2
GDF9,7
GDI1,2398
GDI2,2487
GDNF,6
GDPD1,39
GDPD2,1
GDPD3,2
GDPD4,0
GDPD5,24
GDPGP1,43
GEM,238
GEMIN2,73
GEMIN4,132
GEMIN5,126
GEMIN6,121
GEMIN7,140
GEMIN8,207
GEN1,10
GET4,17
GFAP,1
GFER,181
GFI1,9
GFI1B,2
GFM1,547
GFM2,152
GFOD1,66
GFOD2,345
GFPT1,1974
GFPT2,76
GFRA1,120
GFRA2,1
GFRA3,1
GFRA4,0
GFRAL,0
GFY,0
GGA1,387
GGA2,1058
GGA3,137
GGACT,118
GGCT,632
GGCX,372
GGH,79
GGN,29
GGNBP1,0
GGNBP2,567
GGPS1,439
GGT1,23
GGT3P,0
GGT5,163
GGT6,27
GGT7,158
GGTA1P,2
GGTLC1,1
GGTLC2,3
GH1,0
GH2,0
GHDC,19
GHITM,2875
GHR,38
GHRH,8
GHRHR,0
GHRL,3787
GHRLOS,5
GHSR,0
GID4,135
GID8,784
GIF,0
GIGYF1,256
GIGYF2,469
GIMAP1,21
GIMAP2,10
GIMAP4,62
GIMAP5,27
GIMAP6,50
GIMAP7,52
GIMAP8,21
GIMD1,0
GIN1,66
GINM1,518
GINS1,0
GINS2,41
GINS3,37
GINS4,11
GIP,0
GIPC1,614
GIPC2,41
GIPC3,9
GIPR,100
GIT1,727
GIT2,291
GJA1,172
GJA10,0
GJA4,433
GJA5,26
GJA8,0
GJA9,0
GJB1,271
GJB2,15
GJB3,8
GJB4,6
GJB5,1
GJB6,0
GJB7,0
GJC1,8
GJC2,12
GJC3,0
GJD2,589
GJD3,0
GJD4,0
GK,96
GK2,0
GK5,245
GKAP1,234
GKN1,0
GKN2,0
GLA,106
GLB1,661
GLB1L,42
GLB1L2,40
GLB1L3,5
GLCCI1,191
GLCE,118
GLDC,5
GLDN,0
GLE1,282
GLG1,841
GLI1,2
GLI2,34
GLI3,25
GLI4,66
GLIDR,26
GLIPR1,139
GLIPR1L1,0
GLIPR1L2,44
GLIPR2,130
GLIS1,1
GLIS2,324
GLIS3,527
GLMN,45
GLMP,314
GLO1,823
GLOD4,427
GLOD5,6
GLP1R,52
GLP2R,5
GLRA1,0
GLRA2,0
GLRA3,32
GLRA4,0
GLRB,156
GLRX,313
GLRX2,264
GLRX3,664
GLRX5,733
GLS,1137
GLS2,115
GLT1D1,39
GLT6D1,0
GLT8D1,1218
GLT8D2,70
GLTP,494
GLTPD2,1
GLTSCR1,89
GLTSCR1L,123
GLTSCR2,2414
GLUD1,660
GLUD1P3,2
GLUD2,39
GLUL,1215
GLYAT,0
GLYATL1,1
GLYATL1P2,0
GLYATL2,1
GLYATL3,0
GLYCAM1,0
