"","acinar","activated-stellate","alpha","beta","delta","ductal","endothelial","epsilon","gamma","macrophage","mast","quiescent-stellate","schwann","t-cell"
"CACNG1",0,0,2,1,2,0,0,0,2,0,0,0,0,0
"CACNG2",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CACNG3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CACNG4",0,0,10,10,8,0,0,1,2,0,0,0,0,0
"CACNG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CACNG6",0,0,0,6,5,0,0,1,0,0,0,0,0,0
"CACNG7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CACNG8",0,0,0,0,0,0,2,1,0,0,0,0,0,0
"CACTIN",8,4,14,46,15,12,10,1,5,2,0,5,1,0
"CACUL1",64,28,106,457,113,75,69,7,47,7,0,28,0,1
"CACYBP",43,16,148,569,133,74,69,5,28,13,0,15,2,0
"CAD",17,28,49,126,28,30,16,0,5,3,0,17,0,1
"CADM1",5,7,63,1064,281,60,19,11,17,7,2,9,3,0
"CADM2",0,0,0,3,2,0,0,0,0,0,0,1,1,0
"CADM3",0,3,0,1,2,0,0,0,0,0,0,0,3,0
"CADM4",4,1,40,29,7,11,3,1,6,0,0,2,4,0
"CADPS",2,3,108,678,185,6,5,1,31,0,0,1,0,0
"CADPS2",15,3,3,24,2,3,10,0,0,0,0,2,0,0
"CAGE1",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"CALB1",0,0,0,2,51,0,1,6,13,0,0,1,0,0
"CALB2",0,0,0,1,0,0,0,0,0,0,6,0,0,0
"CALCA",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CALCB",1,0,11,17,39,0,0,0,0,0,0,0,0,0
"CALCOCO1",15,20,26,82,15,18,23,0,11,1,1,22,0,3
"CALCOCO2",35,27,149,522,118,59,31,2,29,9,1,29,0,0
"CALCR",0,0,0,0,11,0,0,0,0,0,0,0,0,0
"CALCRL",0,0,0,0,1,2,81,0,0,1,0,0,0,0
"CALD1",16,436,2,243,71,142,60,10,0,0,1,204,6,0
"CALHM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CALHM2",1,14,2,0,2,0,6,0,0,2,2,4,0,0
"CALHM3",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CALM1",168,135,995,3488,628,331,473,58,265,29,6,105,4,10
"CALM2",279,205,968,2876,741,1026,244,31,235,73,13,209,2,5
"CALM3",214,92,398,1282,268,281,91,19,118,16,6,51,4,3
"CALML3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CALML4",1,3,6,16,3,34,2,1,1,0,1,0,0,0
"CALML5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CALML6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CALN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CALR",298,829,947,4387,809,831,466,36,167,108,4,413,26,2
"CALR3",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CALU",63,257,126,474,82,84,91,0,30,7,1,152,12,0
"CALY",2,10,265,195,230,6,4,22,106,0,0,6,0,1
"CAMK1",12,28,43,64,10,25,17,2,5,6,0,32,0,0
"CAMK1D",13,0,0,24,24,14,13,1,1,0,0,5,0,0
"CAMK1G",1,8,6,23,11,0,0,1,6,0,0,8,0,0
"CAMK2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMK2B",0,0,123,392,130,8,9,11,42,3,0,4,0,0
"CAMK2D",13,5,106,249,54,16,10,2,31,2,0,5,1,0
"CAMK2G",13,9,892,261,68,28,15,1,15,2,2,10,0,0
"CAMK2N1",13,63,350,1257,436,192,24,34,137,2,4,128,0,0
"CAMK2N2",20,4,93,268,88,3,6,7,28,0,0,1,1,0
"CAMK4",0,0,1,0,0,0,0,0,0,0,0,3,0,0
"CAMKK1",2,0,12,56,6,2,9,0,3,0,1,0,0,0
"CAMKK2",8,11,4,19,1,20,13,1,1,3,0,11,0,0
"CAMKMT",3,3,10,18,6,11,4,0,0,0,0,1,1,0
"CAMKV",0,0,0,15,0,0,0,0,0,0,0,0,0,0
"CAMLG",84,39,164,744,82,64,48,2,29,6,3,26,0,0
"CAMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMSAP1",10,0,18,66,16,20,6,1,5,2,0,0,0,0
"CAMSAP2",1,12,21,71,12,17,14,0,5,2,0,6,1,0
"CAMSAP3",21,3,35,45,13,13,2,0,6,0,0,0,0,0
"CAMTA1",59,48,137,355,110,95,68,1,23,5,1,30,10,0
"CAMTA2",6,25,46,431,57,14,11,0,13,1,1,22,0,0
"CAND1",29,31,83,325,83,43,38,1,27,2,1,19,3,1
"CAND2",0,1,27,96,30,2,1,1,7,0,0,4,0,0
"CANT1",15,14,32,119,26,49,28,1,7,3,1,13,0,1
"CANX",316,248,714,3595,649,447,234,10,99,62,10,175,9,1
"CAP1",157,171,301,1008,158,387,211,9,68,31,12,141,13,4
"CAP2",2,2,2,28,13,4,0,0,2,0,0,0,0,0
"CAPG",48,0,15,24,5,117,4,2,1,55,14,1,0,0
"CAPN1",116,51,129,363,104,287,64,5,33,6,3,34,2,0
"CAPN10",3,1,8,47,12,14,2,1,3,2,0,7,1,1
"CAPN11",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAPN12",0,0,3,8,2,9,0,0,0,0,0,0,0,0
"CAPN13",0,0,1,134,8,1,1,0,0,0,0,0,0,0
"CAPN14",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAPN15",27,17,28,79,26,25,19,0,8,2,1,11,0,0
"CAPN2",135,93,68,367,131,345,79,5,19,4,3,29,3,2
"CAPN3",0,0,0,5,3,0,0,0,0,0,0,1,0,0
"CAPN5",2,3,0,13,1,30,10,0,1,0,1,4,0,0
"CAPN6",2,6,1,0,1,24,0,0,0,0,0,0,0,0
"CAPN7",14,7,26,150,26,16,12,0,9,1,0,9,1,0
"CAPN8",0,0,0,0,0,4,0,0,0,0,0,0,0,0
"CAPN9",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CAPNS1",258,162,523,1440,303,552,187,13,123,35,6,123,9,0
"CAPNS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAPRIN1",183,73,205,712,174,164,75,3,34,6,4,70,7,1
"CAPRIN2",12,4,12,67,6,2,3,0,3,1,0,0,0,0
"CAPS",1,1,7,122,9,17,3,0,7,0,0,2,0,0
"CAPS2",0,0,2,27,4,3,0,0,1,0,0,0,0,0
"CAPSL",0,1,4,13,10,0,0,0,0,0,0,0,0,0
"CAPZA1",108,78,120,395,55,130,88,1,33,26,0,71,10,3
"CAPZA2",82,56,205,629,132,153,101,5,35,19,1,46,1,0
"CAPZA3",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CAPZB",113,237,389,824,210,241,126,28,128,40,6,166,3,1
"CARD10",10,2,26,8,10,54,20,1,4,0,0,3,2,0
"CARD11",0,4,3,7,46,9,0,0,50,1,0,0,0,2
"CARD14",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARD16",1,1,0,0,0,0,17,0,0,2,0,1,0,0
"CARD17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARD18",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARD6",1,5,0,2,0,16,13,0,0,0,0,2,0,0
"CARD8",4,4,13,49,7,7,38,0,8,4,1,2,0,0
"CARD9",7,4,8,36,8,3,11,1,10,2,0,4,2,0
"CARF",4,2,16,55,12,0,2,0,6,0,1,1,0,0
"CARHSP1",148,16,46,103,46,183,117,11,26,0,0,8,1,0
"CARKD",11,10,73,197,41,17,8,2,9,2,2,9,0,0
"CARM1",53,26,58,108,22,47,28,6,12,3,0,9,0,0
"CARM1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARNMT1",12,6,15,95,11,14,5,0,5,1,0,3,0,0
"CARNS1",2,0,1,0,0,0,0,0,3,0,0,0,0,0
"CARS",46,25,46,221,44,41,26,5,9,1,3,19,4,0
"CARS2",21,19,50,179,38,27,6,5,12,2,0,11,1,0
"CARTPT",0,1,2,5,0,3,2,0,206,0,0,2,0,0
"CASC1",0,0,1,29,5,0,0,0,1,0,0,0,0,0
"CASC10",1,0,7,3,13,0,5,0,0,0,0,0,0,0
"CASC11",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASC15",0,6,0,1,1,4,6,0,1,0,0,4,2,0
"CASC16",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASC17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASC18",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"CASC2",0,0,8,23,7,1,1,2,0,0,0,1,0,0
"CASC21",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CASC23",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASC3",45,32,103,346,94,54,50,6,24,5,1,26,1,1
"CASC4",85,76,275,1073,285,121,53,11,57,9,0,33,6,0
"CASC5",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CASC6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASC8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASC9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASD1",10,7,24,265,45,18,9,0,11,0,1,3,1,0
"CASK",20,17,38,80,28,36,15,1,6,1,0,5,0,0
"CASKIN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASKIN2",8,4,25,48,12,15,27,0,4,0,0,5,0,0
"CASP1",0,3,1,0,0,5,13,0,0,6,0,0,0,0
"CASP10",2,1,0,0,0,10,4,0,0,3,1,0,0,0
"CASP12",0,0,0,0,1,0,4,0,0,0,0,2,0,0
"CASP14",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASP16P",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASP2",11,9,36,86,26,15,13,2,4,1,1,18,2,0
"CASP3",22,12,40,100,42,19,26,1,12,1,1,4,1,1
"CASP4",89,24,10,26,14,41,10,0,3,6,0,12,2,0
"CASP5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASP6",41,3,13,80,16,22,4,2,7,2,1,3,0,0
"CASP7",33,14,43,37,6,64,28,0,2,1,0,22,2,0
"CASP8",14,5,1,15,5,16,9,0,0,1,2,2,0,0
"CASP8AP2",3,2,4,27,5,5,1,0,5,0,0,2,0,0
"CASP9",7,1,13,52,13,8,4,0,2,1,0,3,0,0
"CASQ1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CASQ2",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CASR",1,3,0,263,87,8,4,0,17,1,0,0,0,0
"CASS4",0,0,0,4,4,0,0,0,0,0,0,0,0,0
"CAST",83,43,154,499,116,191,87,4,37,5,4,34,2,1
"CASZ1",9,0,15,86,18,32,8,0,3,1,0,0,0,0
"CAT",32,19,26,81,9,49,12,1,3,7,1,17,0,1
"CATIP",0,0,1,10,2,1,0,0,0,0,0,0,0,0
"CATSPER1",0,0,0,0,0,3,0,0,0,1,0,0,0,0
"CATSPER2",1,0,19,24,4,2,2,0,6,0,0,0,0,0
"CATSPER2P1",1,1,6,33,6,0,0,1,4,0,0,0,0,0
"CATSPER3",2,1,0,3,0,0,1,0,0,0,0,0,0,0
"CATSPER4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CATSPERB",11,0,0,0,0,4,0,0,0,0,0,0,0,0
"CATSPERD",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CATSPERG",0,2,0,2,0,0,0,0,0,0,0,0,0,0
"CAV1",1,236,2,3,3,76,45,0,0,0,0,153,0,0
"CAV2",16,21,0,6,1,198,41,1,0,0,0,48,0,0
"CAV3",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CBARP",2,4,7,113,11,0,5,1,1,1,0,0,0,0
"CBFA2T2",5,2,64,194,61,17,14,3,13,2,0,4,0,1
"CBFA2T3",8,1,10,24,2,4,6,4,0,0,0,4,0,0
"CBFB",20,29,70,283,64,46,36,1,15,3,2,8,1,0
"CBL",9,14,10,38,10,10,19,2,2,7,1,11,1,0
"CBLB",2,40,30,56,17,15,14,1,6,5,0,22,0,0
"CBLC",25,0,8,14,2,22,1,1,1,0,0,0,0,0
"CBLL1",10,2,18,72,13,9,12,1,3,2,0,4,0,0
"CBLN1",0,0,2,5,0,0,2,0,0,0,0,0,0,0
"CBLN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBLN3",1,4,1,12,1,0,0,0,1,0,0,0,0,0
"CBLN4",0,3,4,1,76,0,1,0,0,0,0,0,0,0
"CBR1",55,73,45,215,44,78,25,3,12,6,3,40,11,0
"CBR3",0,4,1,0,0,2,5,0,0,1,0,2,0,0
"CBR4",25,18,98,144,51,22,15,3,13,0,0,6,0,0
"CBS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBWD1",3,4,16,52,10,4,1,1,2,1,0,2,0,0
"CBWD2",6,3,21,91,22,7,7,3,4,3,0,6,0,0
"CBWD3",0,0,11,40,9,4,2,1,3,2,0,2,0,0
"CBWD5",17,10,58,223,58,24,12,4,13,5,0,9,0,0
"CBWD7",1,0,0,1,1,0,0,0,2,0,0,0,0,0
"CBX1",27,15,96,285,63,91,36,3,12,2,1,17,0,0
"CBX2",0,0,0,3,2,4,10,0,0,0,0,0,0,0
"CBX3",133,106,89,423,76,184,161,2,33,14,6,69,3,1
"CBX3P2",0,0,0,3,1,0,2,0,0,0,0,0,0,0
"CBX3P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBX4",31,14,33,363,34,35,19,1,13,2,1,10,0,0
"CBX5",46,33,178,678,151,69,34,8,59,8,0,29,3,1
"CBX6",61,62,364,833,258,185,86,8,93,3,0,67,3,0
"CBX7",5,3,71,182,40,10,6,2,14,1,0,5,0,0
"CBX8",3,3,13,39,9,11,3,0,2,0,0,3,0,0
"CBY1",14,21,88,312,54,54,10,4,8,0,0,16,0,0
"CBY3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC2D1A",33,3,24,99,18,23,11,3,6,0,0,9,0,0
"CC2D1B",7,8,20,117,23,19,7,2,4,1,2,5,0,0
"CC2D2A",1,4,2,29,6,2,0,0,2,0,0,3,0,0
"CC2D2B",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CCAR1",46,21,47,102,33,44,32,2,9,6,0,29,1,0
"CCAR2",5,11,22,57,12,18,13,1,3,0,0,3,0,0
"CCAT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCBE1",0,2,0,3,0,0,0,0,0,0,0,0,0,0
"CCBL1",1,3,7,48,6,4,3,0,4,0,0,2,0,0
"CCBL2",11,5,11,59,16,11,7,0,1,0,0,5,0,0
"CCDC101",7,4,6,35,4,12,2,0,5,0,0,2,0,0
"CCDC102A",0,5,1,1,1,4,10,0,1,0,1,3,0,0
"CCDC102B",2,12,1,8,2,0,0,0,1,0,0,24,0,0
"CCDC103",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CCDC105",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC106",17,6,63,147,31,18,10,1,18,3,0,6,0,0
"CCDC107",60,14,182,373,78,33,30,4,14,4,1,31,0,0
"CCDC108",0,0,1,2,0,0,0,0,0,0,0,0,0,0
"CCDC109B",1,4,24,213,15,4,8,0,2,0,0,3,0,1
"CCDC110",5,1,0,29,3,1,1,1,4,0,0,0,0,0
"CCDC112",16,2,28,41,15,14,9,0,1,1,2,5,0,1
"CCDC113",2,1,9,71,17,6,2,0,2,0,0,1,0,0
"CCDC114",0,0,0,4,0,0,0,0,1,0,0,0,0,0
"CCDC115",6,7,47,133,15,16,3,1,9,2,0,4,0,0
"CCDC116",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC117",8,14,22,135,35,22,22,0,6,1,3,6,0,0
"CCDC12",43,18,94,280,73,36,27,2,26,0,0,30,1,0
"CCDC120",6,0,14,58,12,27,5,1,2,1,0,0,0,0
"CCDC121",0,2,4,20,5,6,1,3,2,0,0,2,0,0
"CCDC122",0,0,0,4,0,0,0,0,0,0,0,0,0,0
"CCDC124",53,33,100,202,36,73,29,2,18,3,0,17,0,0
"CCDC125",6,0,5,39,9,5,4,0,3,0,0,1,0,0
"CCDC126",6,6,8,51,8,14,6,0,3,0,1,7,1,0
"CCDC127",13,17,28,140,17,19,14,0,6,3,0,8,1,0
"CCDC129",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC13",0,1,4,5,0,0,1,0,0,0,0,0,0,0
"CCDC130",7,9,39,91,18,13,12,3,6,3,1,4,0,0
"CCDC134",0,3,5,6,1,5,0,0,0,0,0,0,0,0
"CCDC136",0,3,3,3,4,1,3,0,0,0,0,0,0,0
"CCDC137",20,6,17,80,8,16,13,0,7,0,1,10,0,0
"CCDC138",1,3,1,10,1,0,2,0,0,0,0,0,0,0
"CCDC14",10,8,12,48,17,20,5,0,2,0,0,4,0,0
"CCDC140",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC141",0,0,2,0,2,0,0,0,0,0,0,0,0,0
"CCDC142",0,2,2,4,0,0,0,0,0,0,0,0,0,0
"CCDC144A",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC144B",2,0,0,3,1,0,1,0,1,0,0,0,0,0
"CCDC144CP",0,0,0,1,0,0,1,0,0,0,0,0,0,0
"CCDC144NL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC146",1,4,1,14,1,2,3,1,0,1,0,1,0,0
"CCDC148",0,0,1,5,2,0,4,0,0,0,0,0,0,0
"CCDC149",9,8,14,111,22,3,8,1,7,1,0,1,0,0
"CCDC15",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CCDC150",0,0,1,1,0,0,2,0,0,0,0,0,0,0
"CCDC151",0,16,22,42,28,0,0,2,4,0,0,4,0,0
"CCDC152",1,1,2,11,5,0,0,0,0,2,0,1,0,0
"CCDC153",0,0,24,8,12,1,0,2,0,0,0,0,0,0
"CCDC154",0,0,0,1,1,0,0,0,0,0,0,1,0,0
"CCDC155",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC157",0,0,1,10,1,1,0,0,0,0,0,1,0,0
"CCDC158",0,0,3,2,4,0,0,0,0,0,0,0,0,0
"CCDC159",4,1,19,58,24,9,5,1,13,0,1,3,0,0
"CCDC162P",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC163P",1,1,3,39,5,0,1,0,0,0,0,0,0,0
"CCDC166",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC167",30,18,50,212,40,44,11,2,5,6,2,12,2,0
"CCDC169",0,0,2,3,0,0,0,0,0,0,0,0,0,0
"CCDC169.SOHLH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC17",1,0,0,2,0,0,2,0,0,0,0,0,0,0
"CCDC170",1,0,1,14,2,0,0,0,1,0,0,0,0,0
"CCDC171",1,2,1,10,2,1,1,0,0,0,0,0,0,0
"CCDC172",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC173",0,0,2,34,15,0,1,0,1,0,0,0,0,0
"CCDC174",12,3,23,84,12,8,10,0,9,1,1,10,1,0
"CCDC176",3,1,14,81,24,7,2,0,0,0,0,0,0,0
"CCDC178",0,0,2,1,0,0,0,0,0,0,0,0,0,0
"CCDC179",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC18",1,2,1,7,3,0,1,0,1,2,0,0,0,0
"CCDC180",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"CCDC181",1,0,37,118,24,1,0,0,10,0,0,0,0,0
"CCDC182",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC183",0,1,2,6,3,1,0,0,0,0,0,0,0,0
"CCDC184",1,5,30,94,24,1,6,0,8,0,1,3,0,0
"CCDC185",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC186",21,2,84,204,66,37,13,3,9,1,0,10,0,0
"CCDC22",6,4,15,47,13,7,7,1,8,1,2,3,0,0
"CCDC24",8,1,28,77,33,10,1,1,8,0,0,2,1,0
"CCDC25",62,21,84,274,58,44,41,5,24,2,1,13,1,0
"CCDC26",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC27",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC28A",17,10,35,163,27,21,10,0,7,0,0,11,2,0
"CCDC28B",17,7,36,105,30,12,6,4,8,1,0,5,1,0
"CCDC3",0,2,1,3,0,1,6,0,0,0,0,54,0,0
"CCDC30",1,0,11,37,16,2,0,0,2,0,0,1,0,0
"CCDC33",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC34",19,32,20,94,28,13,4,1,1,3,0,1,1,0
"CCDC36",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC37",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CCDC38",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC39",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"CCDC40",1,1,11,15,5,1,0,0,0,0,0,2,0,0
"CCDC42",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC43",13,5,17,55,6,16,11,0,4,2,0,6,1,0
"CCDC47",52,46,225,709,126,112,45,9,30,8,0,41,3,0
"CCDC50",42,18,39,97,26,83,55,4,13,3,0,14,0,0
"CCDC51",9,4,16,69,13,2,5,0,1,1,0,3,0,0
"CCDC53",16,7,39,170,21,13,10,1,15,1,0,12,0,0
"CCDC54",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC57",1,2,13,59,15,4,2,1,3,0,0,1,0,0
"CCDC58",11,0,2,19,4,2,0,0,0,0,0,1,0,1
"CCDC59",18,19,21,109,29,13,16,0,13,0,4,16,0,1
"CCDC6",66,9,63,205,36,119,16,2,21,1,1,11,1,0
"CCDC60",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CCDC61",5,1,5,11,4,6,0,0,2,0,0,2,0,0
"CCDC62",0,0,0,4,1,0,0,0,0,0,0,0,0,0
"CCDC63",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC64",0,0,2,9,2,1,0,0,2,0,0,0,0,0
"CCDC64B",96,0,2,11,7,37,0,2,4,0,0,0,1,0
"CCDC65",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"CCDC66",4,6,12,63,10,11,3,2,6,0,2,0,1,0
"CCDC67",0,0,1,23,2,0,0,0,0,0,0,0,0,0
"CCDC68",5,2,0,2,2,11,5,0,0,0,1,0,0,0
"CCDC69",24,0,4,2,2,4,40,0,0,1,2,2,0,0
"CCDC7",1,0,4,19,6,2,1,0,3,0,0,0,0,0
"CCDC70",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CCDC71",10,7,16,59,10,13,8,0,4,0,0,9,0,0
"CCDC71L",3,25,4,16,3,10,11,0,3,2,4,6,0,0
"CCDC73",1,0,2,0,0,0,0,0,0,0,0,0,0,0
"CCDC74A",1,8,3,22,6,1,3,0,1,0,0,3,0,0
"CCDC74B",0,1,5,22,6,0,0,0,0,0,0,0,0,0
"CCDC77",1,0,2,22,0,0,2,0,0,0,2,1,0,0
"CCDC78",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CCDC79",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC8",21,15,13,107,19,6,0,0,6,0,0,4,0,0
"CCDC80",0,31,0,1,0,6,0,0,0,0,0,1,0,0
"CCDC81",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CCDC82",3,1,5,27,4,6,3,0,0,0,0,1,0,0
"CCDC83",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC84",3,1,18,50,13,8,8,0,3,0,1,4,0,0
"CCDC85A",0,0,7,2,8,0,1,0,0,0,0,0,0,0
"CCDC85B",29,41,31,204,38,31,210,2,12,3,5,84,1,0
"CCDC85C",13,3,24,26,10,18,3,0,2,0,0,1,0,0
"CCDC86",5,12,43,50,7,7,6,0,3,2,0,5,0,0
"CCDC87",0,0,3,7,3,0,0,0,0,0,0,0,0,0
"CCDC88A",8,10,26,104,37,5,17,2,5,9,0,6,0,0
"CCDC88B",7,3,3,21,7,10,1,0,0,0,4,0,0,0
"CCDC88C",3,0,1,16,1,3,9,0,0,0,1,0,0,0
"CCDC89",0,1,0,3,0,0,0,0,0,0,0,0,0,0
"CCDC9",9,4,6,21,6,10,2,0,0,1,0,4,0,0
"CCDC90B",37,7,53,307,36,34,21,0,9,4,0,10,1,0
"CCDC91",13,4,57,164,37,20,8,0,12,4,1,6,0,0
"CCDC92",11,24,96,191,53,45,30,3,12,1,4,9,1,1
"CCDC93",7,5,7,37,12,9,5,1,2,0,0,3,0,0
"CCDC94",16,4,14,58,9,11,9,1,3,0,0,8,0,0
"CCDC96",1,2,8,7,9,2,1,0,0,0,0,0,0,0
"CCDC97",15,5,27,80,23,23,3,0,1,2,1,6,0,0
"CCER1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCHCR1",2,0,2,9,2,6,2,0,0,0,0,0,0,0
"CCIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCK",5,1,2,0,0,0,0,0,0,0,0,0,0,0
"CCKAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCKBR",3,1,38,67,59,2,0,2,6,0,0,0,0,0
"CCL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCL11",0,10,0,0,1,0,0,0,0,0,0,0,0,0
"CCL13",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCL14",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CCL15",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CCL15.CCL14",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CCL16",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCL17",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"CCL18",0,0,0,1,0,0,0,0,0,23,0,0,0,0
"CCL19",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCL2",20,56,0,7,2,469,1,0,0,15,0,6,0,0
"CCL20",0,0,0,0,0,46,0,0,0,15,0,0,0,0
"CCL21",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCL22",0,0,0,0,0,2,0,0,0,45,0,0,0,0
"CCL23",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCL24",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCL25",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCL26",0,41,0,1,0,0,0,0,0,0,0,7,0,0
"CCL27",0,0,1,3,0,0,0,0,0,0,0,0,0,0
"CCL28",3,0,1,7,4,6,0,1,0,0,0,0,0,0
"CCL3",0,0,0,0,0,0,0,0,0,119,0,0,0,1
"CCL3L3",0,0,0,0,0,0,1,0,0,28,0,1,0,2
"CCL4",0,0,0,0,0,0,0,0,0,34,0,0,0,2
"CCL4L2",0,0,0,1,0,0,0,0,0,11,0,0,0,0
"CCL5",0,0,0,0,0,0,0,0,0,0,0,0,0,13
"CCL7",0,1,0,0,0,7,0,0,0,0,0,0,0,0
"CCL8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCM2",42,36,110,269,39,46,24,0,23,6,2,25,1,0
"CCM2L",0,0,0,3,1,0,6,0,1,1,0,0,0,0
"CCNA1",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CCNA2",0,0,8,3,0,0,0,0,0,0,0,0,0,0
"CCNB1",4,0,13,9,1,5,0,0,2,0,0,0,0,0
"CCNB1IP1",24,10,46,195,25,20,13,4,14,1,0,8,0,0
"CCNB2",0,0,15,2,1,0,0,0,0,0,0,0,0,0
"CCNB3",0,0,4,5,0,2,2,0,1,0,0,0,0,0
